p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.51823086438249e-10,1.50411547197919,0.318,0.114,2.80068047552638e-06,0,Pip5k1b
1.74735052843837e-10,-1.94523144824737,0.467,0.217,3.22333751981026e-06,0,Foxo3
2.95691672406073e-10,-6.50936782007538,0.093,0.392,5.45462428087482e-06,0,Iqgap1
3.10430617307386e-10,-3.85595125971641,0.57,0.29,5.72651359746934e-06,0,Wnk1
8.82365788827854e-10,1.62997943788423,0.28,0.096,1.62770017065074e-05,0,Zfp91
1.05228315986283e-09,-3.56088331618916,0.393,0.161,1.94114674499896e-05,0,Cpeb4
1.14518895962954e-09,-21.5146709520398,1,0.998,2.1125300738286e-05,0,mt-Rnr2
1.54451980810204e-09,-0.539952750242355,0.374,0.149,2.84917569000583e-05,0,Itsn1
2.96029983041048e-09,-48.605234681225,0.57,0.29,5.46086509715821e-05,0,Atg4a
4.23553886027035e-09,0.836034767635683,0.318,0.121,7.81329853554072e-05,0,Rbm38
4.64693259995594e-09,-Inf,1,0.997,8.57219656713871e-05,0,Lars2
5.70396517604148e-09,-4.82675545194009,0.467,0.227,0.000105221045602437,0,Gpcpd1
6.13514581533251e-09,-2.04056524523089,0.364,0.15,0.000113175034855439,0,Ube2o
1.05139797169592e-08,-6.94801342589746,0.664,0.425,0.000193951383838747,0,Pabpc1
2.36148505759438e-08,1.22538623282623,0.252,0.09,0.000435623148574434,0,Numa1
2.61047980136925e-08,-24.7410502500427,0.28,0.528,0.000481555208958586,0,Myh9
2.99488373146333e-08,1.70636178394707,0.29,0.116,0.00055246620194304,0,Lbr
4.22043782970725e-08,-73.4516264893849,1,0.983,0.000778544166446097,0,Malat1
5.13079423393911e-08,-4.48523120653164,0.093,0.349,0.000946477612334747,0,Ripor2
6.43511044811034e-08,-16.316755749194,0.093,0.336,0.00118708482436291,0,Thbs1
1.23045078768318e-07,0.404300383979172,0.271,0.107,0.00226981256803916,0,Nos1ap
1.46407712883296e-07,0.947367140735024,0.308,0.13,0.00270078307955817,0,Lmnb1
1.76273313762394e-07,-4.56100619449128,0.327,0.142,0.00325171381897488,0,Ppp1r15a
1.76460391536699e-07,-4.3066410094944,0.15,0.391,0.00325516484267749,0,Lyn
